OBJECTID,stp_identi,stp_511_id,stp_descri,route,longitude,latitude
188,0200010,55064,Bayside Common Condominiums,L,-122.30815,37.8963137
189,0200120,55448,Jackson St & 8th St,18 52,-122.2999811,37.8834549
190,0200200,55990,956 Ohlone Av,18 52,-122.301303,37.8855344
191,0200220,52700,545 Pierce St,L,-122.3081223,37.8958126
192,0200250,55616,Pierce St & Gateview Apts,L,-122.3072978,37.8938688
193,0200260,56411,Pierce St & Gateview Apts,L,-122.3071888,37.8940856
194,0200350,52117,San Pablo Av & Brighton Av,72 800 72M,-122.301025,37.8971372
195,0200360,56422,San Pablo Av & Brighton Av,72 800 72M,-122.30109,37.8965096
196,0200370,56606,San Pablo Av & Buchanan St,18 72 800 G 72M,-122.2981122,37.8880699
197,0200380,57957,San Pablo Av & Buchanan St,18 72 800 G 72M,-122.2984039,37.8880964
198,0200390,55728,San Pablo Av & Castro St,72 800 72M,-122.3003764,37.8942865
199,0200400,51166,San Pablo Av & Marin Av (Albany City Hall),18 72 800 G 72M,-122.2978696,37.8864621
200,0200410,55867,San Pablo Av & Marin Av (Albany City Hall),18 72 800 G 72M,-122.2976044,37.886486
201,0200420,55978,San Pablo Av & Monroe St,72 800 G 72M,-122.2970678,37.884827
202,0200430,54344,San Pablo Av & Monroe St,52 72 800 G 72M,-122.2972128,37.8844104
203,0200590,55766,Solano Av & Cornell Av,18 G,-122.2958712,37.8903904
204,0200600,55730,Solano Av & Cornell Av,18 G,-122.2960187,37.8905267
205,0200610,51212,Solano Av & Curtis St,18 G,-122.2871565,37.8908709
206,0200620,55395,Solano Av & Kains Av,18 G,-122.29832,37.8903792
207,0200630,55133,Solano Av & Masonic Av,18 G,-122.293296,37.8905034
208,0200640,58977,Solano Av & Masonic Av,18 G,-122.2934792,37.8906925
209,0200650,56615,Solano Av & Peralta Av,18 G,-122.2852393,37.8909554
210,0200670,51915,Solano Av & Ramona Av,18 G,-122.2913283,37.8907478
211,0200680,56568,Solano Av & Ramona Av,18 G,-122.2909284,37.8906403
212,0200700,52245,Solano Av & Santa Fe Av,18 G,-122.2889255,37.8907502
213,0200710,55905,Solano Av & Santa Fe Av,18 G,-122.2891941,37.8908632
214,0200720,57975,Solano Av & Ventura Av,18,-122.2831532,37.8910781
215,0200730,56688,San Pablo Av & Solano Av,72 800 72L 72M,-122.2990127,37.8899646
216,0200740,52217,San Pablo Av & Portland Av,72 800 72M,-122.2998084,37.8933355
217,0200750,55958,Pierce St & Solano Av,L,-122.305791,37.8887276
218,0200760,54440,Ohlone Av & West End Way,52,-122.3050115,37.8847305
219,0200770,55115,Red Oak Av & Kinkead Way,52,-122.302906,37.8829334
220,0200780,50529,Jackson St & Ohlone Av,18 52,-122.3001501,37.8854439
221,0300210,55909,7th St & Anthony St,36,-122.2916088,37.8522852
222,0300220,55915,7th St & Anthony St,36,-122.2913787,37.8521796
223,0300260,55970,7th St & Grayson St,36,-122.2926102,37.8554134
224,0300270,50633,7th St & Grayson St,36,-122.2925702,37.8555686
225,0300290,58667,7th St & Heinz Av,36,-122.2917665,37.8533342
226,0300300,55738,7th St & Parker St,36,-122.2934837,37.8586027
227,0300310,55807,7th St & Parker St,36,-122.2936647,37.8585478
228,0300315,57566,Addison St & Oxford St,22,-122.2665493,37.8712934
229,0300320,52252,Adeline St & Alcatraz Av,7 12 F,-122.2710909,37.8491153
231,0300340,53327,Adeline St & Ashby Av,7 F,-122.2686188,37.855424
232,0300350,59978,Adeline St & Ashby BART,7 F,-122.2700501,37.8525969
233,0300360,59918,Adeline St & Ashby BART,7 F,-122.2695416,37.8529129
234,0300370,59928,Adeline St & Fairview St,7 F,-122.2704772,37.8510033
235,0300380,54254,Adeline St & Fairview St,7 12 F,-122.2708478,37.8507917
236,0300390,57220,Adeline St & Oregon St,7 800 F,-122.2677277,37.8577582
237,0300400,57330,Adeline St & Oregon St,7 800 F,-122.2684949,37.8570802
238,0300410,56736,Adeline St & Russell St,7 F,-122.269009,37.855491
243,0300490,51712,Alcatraz Av & Dover St,22 688,-122.2691346,37.8491238
248,0300560,57990,Arlington Av & Boynton Av,7,-122.2766039,37.9020602
249,0300570,54578,Arlington Av & Boynton Path,7,-122.2763655,37.9019727
250,0300580,55107,Arlington Av & Indian Rock Path,7,-122.2739399,37.8920034
251,0300590,56752,Arlington Av & Indian Rock Path,7,-122.2742057,37.8919892
252,0300600,53723,Arlington Av & Mendocino Path,7,-122.2746348,37.8931074
253,0300610,56753,Arlington Av & Mendocino Av,7,-122.2748344,37.893232
254,0300620,57585,Arlington Av & San Antonio Av,7,-122.2774213,37.8991222
255,0300630,58768,Arlington Av & San Fernando Av,7,-122.2765587,37.8988243
256,0300640,57432,Arlington Av & San Luis Rd,7,-122.2768979,37.9009897
257,0300650,59970,Arlington Av & San Luis Rd,7,-122.2771876,37.900947
258,0300660,59938,Arlington Av & Southampton Av,7,-122.274719,37.8944094
259,0300670,51880,Arlington Av & Thousand Oaks Blvd,7,-122.276286,37.8973786
260,0300680,56759,Arlington Av & Thousand Oaks Blvd,7,-122.2756917,37.8971562
261,0300690,52880,Arlington Av & Yosemite Rd,7,-122.2752638,37.8949574
262,0300710,55817,Ashby Av & 7th St,27 J,-122.2904636,37.8511952
263,0300720,50667,Ashby Av & Acton St,27 J,-122.2809724,37.8531617
264,0300730,54954,Ashby Av & Acton St,27 J,-122.2817184,37.8532178
265,0300740,56858,Ashby Av & Adeline St (Ashby BART),27 800,-122.26847,37.8551208
266,0300750,52239,Ashby Av & Adeline St (Ashby BART),27 800,-122.2686756,37.8548118
267,0300760,50177,Ashby Av & California St,27,-122.2772099,37.8535847
268,0300770,53880,Ashby Av & California St,27,-122.276672,37.853531
269,0300780,50677,Ashby Av & Claremont Av,604,-122.2457638,37.8580919
270,0300790,52331,Ashby Av & Claremont Av,604,-122.2456743,37.8579768
271,0300800,56795,Ashby Av & Colby St,27,-122.2576161,37.8563945
272,0300810,58568,Ashby Av & College Av,604,-122.252661,37.8570133
273,0300830,52336,Ashby Av & Deakin St,27 800,-122.2626205,37.8558683
274,0300840,57658,Ashby Av & Deakin St,27 800,-122.2621734,37.85579
275,0300850,58820,Ashby Av & Domingo Av,604 E,-122.2441151,37.8581432
276,0300860,50699,Ashby Av & Ellis St,27,-122.2735052,37.8540602
277,0300870,59968,Ashby Av & Hillegass Av,27,-122.2553576,37.8568175
278,0300880,59875,Ashby Av & Hillegass Av,27,-122.2552436,37.8567025
279,0300890,51050,Ashby Av & King St,27,-122.2739,37.853892
280,0300900,50540,Ashby Av & Mabel St,27,-122.283454,37.8527395
281,0300910,54559,Ashby Av & Mabel St,27,-122.2839863,37.8527581
282,0300920,55765,Ashby Av & Martin Luther King Jr Way(Ashby BART),27,-122.2709196,37.8544195
283,0300930,51171,Ashby Av & Martin Luther King Jr Way(Ashby BART),27,-122.2706094,37.8542557
284,0300940,53756,Ashby Av & Piedmont Av,604,-122.2508956,37.8576213
285,0300950,59879,Ashby Av & Piedmont Av,604,-122.2509815,37.8577657
286,0300960,56870,Ashby Av & Pine Av,604,-122.2487036,37.8579065
287,0300970,57056,Ashby Av & Pine Av,604,-122.2482105,37.8578404
288,0300980,51951,Ashby Av & Regent St,27,-122.2571196,37.8565857
289,0300990,52662,Ashby Av & Sacramento St,27,-122.2792304,37.8532066
290,0301000,55919,Ashby Av & Sacramento St,27,-122.2788099,37.8533772
291,0301010,52300,Ashby Av & San Pablo Av,27 J,-122.2862468,37.8521703
292,0301020,52599,Ashby Av & San Pablo Av,27 J,-122.2871538,37.8521495
293,0301030,52339,Ashby Av & Shattuck Av,27 800,-122.2661935,37.855265
294,0301040,55016,Ashby Av & Shattuck Av,27 800,-122.2668332,37.8553464
295,0301050,59300,Ashby Av & Telegraph Av,27 800,-122.2601452,37.8562067
296,0301060,55217,Ashby Av & Telegraph Av,27,-122.2593586,37.8561596
297,0301070,56796,Ashby Av & Wheeler St,27 800,-122.2648359,37.8555882
298,0301080,58234,Ashby Av & Wheeler St,27 800,-122.2642869,37.8555157
299,0301090,55827,Avenida Dr & Campus Dr,65,-122.2522893,37.882765
300,0301100,51138,Avenida Dr & Queens Rd,65,-122.2517607,37.8835469
301,0301130,55593,Bancroft Way & Dana St,6 22 27 36 52 604 605 851 F 51B,-122.2619131,37.8684577
302,0301170,54455,Bancroft Way & Telegraph Av,27 851 51B,-122.2599089,37.86866
303,0301180,56888,Bancroft Way & Telegraph Av,6 52,-122.260255,37.8686459
304,0301190,54963,Bancroft Way & Telegraph Av,22 36 604 605 F,-122.2605215,37.8686135
305,0301200,55837,Belrose Av & Garber St,36,-122.2457772,37.8609925
306,0301220,55194,Campus Dr & Del Mar Av,65,-122.2530421,37.8838052
307,0301230,57651,Campus Dr & Glendale Av,65,-122.2545122,37.8857656
308,0301240,57652,Campus Dr & Quail Av,65,-122.2548521,37.8866889
309,0301250,57653,Campus Dr & Shasta Rd,65,-122.2544862,37.8876383
310,0301260,58958,Cedar St & Acton St,52,-122.2851806,37.8763099
311,0301270,57156,Cedar St & Acton St,52,-122.285276,37.8764067
312,0301320,58432,Cedar St & Cedar Rose Park,52,-122.287701,37.876165
313,0301340,50234,Cedar St & Cornell Av,52,-122.2916475,37.87548
314,0301350,54501,Cedar St & Cornell Av,52,-122.2913546,37.875636
315,0301460,55241,Cedar St & Sacramento St,52,-122.283023,37.876695
316,0301480,55327,Cedar St & San Pablo Av,52,-122.2939033,37.8753563
317,0301540,54139,Center St & Shattuck Av (Downtown Berkeley BART),88,-122.26857,37.870312
318,0301560,58830,Claremont Av & Ashby Av,36,-122.2453448,37.8581967
319,0301570,57115,Claremont Av & Ashby Av,36,-122.2449371,37.8583901
320,0301580,57118,Claremont Av & Eton Av,36 E,-122.2499761,37.8524448
321,0301590,57228,Claremont Av & Eton Ct,36 E,-122.2499542,37.8521768
322,0301600,50432,Claremont Av & Hazel Rd,36 E,-122.2466383,37.8562848
323,0301610,50911,Claremont Av & The Uplands,36 E,-122.2482454,37.8543237
324,0301620,55762,Claremont Av & Webster St,36 E,-122.2469242,37.8562251
325,0301630,55763,Claremont Av & Woolsey St,36 E,-122.2486255,37.8541152
