DateTime,Date,Time,Month,Year,Day of Week,Hour,Accident Location,PCF Description,PCF Category,Involved Objects,Party at Fault,Suspected Serious Injury,Suspected Minor Injury,Suspected Possible Injury,Injury Severity,ObjectId,x,y
3/22/2022 5:42:00 AM,2022-03-21,22:42:00,3,2022,0.0,22,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,No Injury,1,-13613381.5663857,4558400.59821625
4/5/2022 1:40:00 PM,2022-04-05,06:40:00,4,2022,1.0,6,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,Unspecified Injury,2,-13613381.5663857,4558400.59821625
4/15/2022 1:49:00 AM,2022-04-14,18:49:00,4,2022,3.0,18,7 Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,Unspecified Injury,3,-13613381.5663857,4558400.59821625
5/12/2022 4:50:00 PM,2022-05-12,09:50:00,5,2022,3.0,9,7th St & Ashby Avenue,Unknown / Not Stated,Other,"1 Truck, 1 Car",Driver,0,0,0,No Injury,4,-13613381.5663857,4558400.59821625
8/12/2022 3:55:00 PM,2022-08-12,08:55:00,8,2022,4.0,8,7th St & Ashby Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Truck, 1 Car",Driver,0,0,0,Unspecified Injury,5,-13613381.5663857,4558400.59821625
8/17/2022 11:09:00 AM,2022-08-17,04:09:00,8,2022,2.0,4,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,"1 Truck, 1 Car",Driver,0,0,0,Unspecified Injury,6,-13613381.5663857,4558400.59821625
9/4/2022 10:42:00 PM,2022-09-04,15:42:00,9,2022,6.0,15,7th Street & Ashby Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Car,Driver,0,0,0,Unspecified Injury,7,-13613381.5663857,4558400.59821625
9/5/2022 1:27:00 PM,2022-09-05,06:27:00,9,2022,0.0,6,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,No Injury,8,-13613381.5663857,4558400.59821625
10/22/2022 5:20:00 AM,2022-10-21,22:20:00,10,2022,4.0,22,7th St & Ashby Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Motorcycle,Driver,0,0,0,Unspecified Injury,9,-13613381.5663857,4558400.59821625
10/24/2022 9:02:00 AM,2022-10-24,02:02:00,10,2022,0.0,2,7th St & Ashby Avenue,VC 23153(a): DUI alcohol causing injury,"Alcohol, DUI, Drug Offenses",2 Car,Driver,0,0,0,Unspecified Injury,10,-13613381.5663857,4558400.59821625
12/26/2022 6:00:00 PM,2022-12-26,10:00:00,12,2022,0.0,10,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,"2 Truck, 1 Car",Driver,0,0,0,Unspecified Injury,11,-13613381.5663857,4558400.59821625
11/18/2021 2:11:00 AM,2021-11-17,18:11:00,11,2021,2.0,18,7th Street & Ashby Avenue,VC 21954(a): Pedestrian failure to yield right-of-way outside crosswalk,Pedestrians,1 Pedestrian,Pedestrian,0,0,0,Fatal,12,-13613381.5663857,4558400.59821625
10/10/2021 9:05:00 AM,2021-10-10,02:05:00,10,2021,6.0,2,7th Street & Ashby Avenue,VC 23153(a): DUI alcohol causing injury,"Alcohol, DUI, Drug Offenses","1 Car, 1 Solo",Driver,0,0,0,Unspecified Injury,13,-13613381.5663857,4558400.59821625
9/25/2021 12:46:00 AM,2021-09-24,17:46:00,9,2021,4.0,17,7th Street & Ashby Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,2 Car,Driver,0,0,0,Unspecified Injury,14,-13613381.5663857,4558400.59821625
